target x,target y,x trajectory,y_trajectory
,,-0.006866456,0.002141259
,,-0.006968973,0.002145885
,,-0.007071942,0.002150597
,,-0.007175363,0.002155396
,,-0.00727924,0.002160283
,,-0.007383572,0.002165258
,,-0.007488362,0.002170322
,,-0.007593613,0.002175475
,,-0.007699324,0.00218072
,,-0.0078055,0.002186055
,,-0.007912142,0.002191481
,,-0.008019251,0.002197
,,-0.008126831,0.002202611
,,-0.008234883,0.002208315
,,-0.00834341,0.002214112
,,-0.008452414,0.002220002
,,-0.008561898,0.002225986
,,-0.008671863,0.002232063
,,-0.008782312,0.002238234
,,-0.008893248,0.002244498
,,-0.009004672,0.002250856
,,-0.009116587,0.002257306
,,-0.009228995,0.002263849
,,-0.009341898,0.002270484
,,-0.009455299,0.00227721
,,-0.009569199,0.002284027
,,-0.0096836,0.002290933
,,-0.009798506,0.002297928
,,-0.009913916,0.00230501
,,-0.010029834,0.002312178
,,-0.010146261,0.00231943
,,-0.010263198,0.002326765
,,-0.010380648,0.002334182
,,-0.01049861,0.002341677
,,-0.010617088,0.00234925
,,-0.010736081,0.002356898
,,-0.010855592,0.002364618
,,-0.01097562,0.002372409
,,-0.011096167,0.002380267
,,-0.011217233,0.002388189
,,-0.011338819,0.002396174
,,-0.011460924,0.002404217
,,-0.011583551,0.002412315
,,-0.011706697,0.002420465
,,-0.011830364,0.002428664
,,-0.011954551,0.002436908
,,-0.012079258,0.002445193
,,-0.012204484,0.002453515
,,-0.012330229,0.00246187
,,-0.012456491,0.002470254
,,-0.012583271,0.002478663
,,-0.012710566,0.002487092
,,-0.012838377,0.002495538
,,-0.012966701,0.002503994
,,-0.013095538,0.002512457
,,-0.013224886,0.002520922
,,-0.013354743,0.002529384
,,-0.013485108,0.002537838
,,-0.013615979,0.002546279
,,-0.013747354,0.002554702
,,-0.013879231,0.002563102
,,-0.014011609,0.002571474
,,-0.014144485,0.002579813
,,-0.014277857,0.002588113
,,-0.014411722,0.002596369
,,-0.01454608,0.002604577
,,-0.014680927,0.00261273
